Id,Time,mean
1,2022-05-01 00:00:00,0
2,2022-05-01 00:20:00,0
3,2022-05-01 00:40:00,0
4,2022-05-01 01:00:00,0
5,2022-05-01 01:20:00,0
6,2022-05-01 01:40:00,0
7,2022-05-01 02:00:00,0
8,2022-05-01 02:20:00,0
9,2022-05-01 02:40:00,0
10,2022-05-01 03:00:00,0
11,2022-05-01 03:20:00,0
12,2022-05-01 03:40:00,0
13,2022-05-01 04:00:00,0
14,2022-05-01 04:20:00,0
15,2022-05-01 04:40:00,0
16,2022-05-01 05:00:00,0
17,2022-05-01 05:20:00,0
18,2022-05-01 05:40:00,0
19,2022-05-01 06:00:00,30.9
20,2022-05-01 06:20:00,1121
21,2022-05-01 06:40:00,2062
22,2022-05-01 07:00:00,2960
23,2022-05-01 07:20:00,4316
24,2022-05-01 07:40:00,7528
25,2022-05-01 08:00:00,8422
26,2022-05-01 08:20:00,7663
27,2022-05-01 08:40:00,11859
28,2022-05-01 09:00:00,12865
29,2022-05-01 09:20:00,14446
30,2022-05-01 09:40:00,15861
31,2022-05-01 10:00:00,18676
32,2022-05-01 10:20:00,19606
33,2022-05-01 10:40:00,15148
34,2022-05-01 11:00:00,16347
35,2022-05-01 11:20:00,22252
36,2022-05-01 11:40:00,22258
37,2022-05-01 12:00:00,13818
38,2022-05-01 12:20:00,22318
39,2022-05-01 12:40:00,13841
40,2022-05-01 13:00:00,19983
41,2022-05-01 13:20:00,20991
42,2022-05-01 13:40:00,19476
43,2022-05-01 14:00:00,12536
44,2022-05-01 14:20:00,20181
45,2022-05-01 14:40:00,12706
46,2022-05-01 15:00:00,15632
47,2022-05-01 15:20:00,16871
48,2022-05-01 15:40:00,12935
49,2022-05-01 16:00:00,28401
50,2022-05-01 16:20:00,9131
51,2022-05-01 16:40:00,11376
52,2022-05-01 17:00:00,13827
53,2022-05-01 17:20:00,22041
54,2022-05-01 17:40:00,21395
55,2022-05-01 18:00:00,21518
56,2022-05-01 18:20:00,18118
57,2022-05-01 18:40:00,10743
58,2022-05-01 19:00:00,8017
59,2022-05-01 19:20:00,5619
60,2022-05-01 19:40:00,3124
61,2022-05-01 20:00:00,1217
62,2022-05-01 20:20:00,332
63,2022-05-01 20:40:00,0
64,2022-05-01 21:00:00,0
65,2022-05-01 21:20:00,0
66,2022-05-01 21:40:00,0
67,2022-05-01 22:00:00,0
68,2022-05-01 22:20:00,0
69,2022-05-01 22:40:00,0
70,2022-05-01 23:00:00,0
71,2022-05-01 23:20:00,0
72,2022-05-01 23:40:00,0
73,2022-05-02 00:00:00,0
74,2022-05-02 00:20:00,0
75,2022-05-02 00:40:00,0
76,2022-05-02 01:00:00,0
77,2022-05-02 01:20:00,0
78,2022-05-02 01:40:00,0
79,2022-05-02 02:00:00,0
80,2022-05-02 02:20:00,0
81,2022-05-02 02:40:00,0
82,2022-05-02 03:00:00,0
83,2022-05-02 03:20:00,0
84,2022-05-02 03:40:00,0
85,2022-05-02 04:00:00,0
86,2022-05-02 04:20:00,0
87,2022-05-02 04:40:00,0
88,2022-05-02 05:00:00,0
89,2022-05-02 05:20:00,0
90,2022-05-02 05:40:00,0
91,2022-05-02 06:00:00,0
92,2022-05-02 06:20:00,964
93,2022-05-02 06:40:00,2537
94,2022-05-02 07:00:00,4096
95,2022-05-02 07:20:00,6466
96,2022-05-02 07:40:00,8679
97,2022-05-02 08:00:00,11696
98,2022-05-02 08:20:00,15252
99,2022-05-02 08:40:00,18907
100,2022-05-02 09:00:00,23056
101,2022-05-02 09:20:00,23085
102,2022-05-02 09:40:00,15554
103,2022-05-02 10:00:00,17421
104,2022-05-02 10:20:00,17811
105,2022-05-02 10:40:00,26225
106,2022-05-02 11:00:00,31425
107,2022-05-02 11:20:00,40065
108,2022-05-02 11:40:00,40982
109,2022-05-02 12:00:00,42415
110,2022-05-02 12:20:00,44058
111,2022-05-02 12:40:00,44481
112,2022-05-02 13:00:00,42617
113,2022-05-02 13:20:00,43722
114,2022-05-02 13:40:00,34960
115,2022-05-02 14:00:00,36572
116,2022-05-02 14:20:00,25932
117,2022-05-02 14:40:00,35370
118,2022-05-02 15:00:00,37800
119,2022-05-02 15:20:00,23390
120,2022-05-02 15:40:00,35416
121,2022-05-02 16:00:00,19634
122,2022-05-02 16:20:00,11692
123,2022-05-02 16:40:00,29568
124,2022-05-02 17:00:00,25296
125,2022-05-02 17:20:00,9591
126,2022-05-02 17:40:00,6372
127,2022-05-02 18:00:00,5942
128,2022-05-02 18:20:00,9584
129,2022-05-02 18:40:00,8792
130,2022-05-02 19:00:00,7543
131,2022-05-02 19:20:00,4555
132,2022-05-02 19:40:00,3246
133,2022-05-02 20:00:00,1654
134,2022-05-02 20:20:00,449
135,2022-05-02 20:40:00,0
136,2022-05-02 21:00:00,0
137,2022-05-02 21:20:00,0
138,2022-05-02 21:40:00,0
139,2022-05-02 22:00:00,0
140,2022-05-02 22:20:00,0
141,2022-05-02 22:40:00,0
142,2022-05-02 23:00:00,0
143,2022-05-02 23:20:00,0
144,2022-05-02 23:40:00,0
145,2022-05-03 00:00:00,0
146,2022-05-03 00:20:00,0
147,2022-05-03 00:40:00,0
148,2022-05-03 01:00:00,0
149,2022-05-03 01:20:00,0
150,2022-05-03 01:40:00,0
151,2022-05-03 02:00:00,0
152,2022-05-03 02:20:00,0
153,2022-05-03 02:40:00,0
154,2022-05-03 03:00:00,0
155,2022-05-03 03:20:00,0
156,2022-05-03 03:40:00,0
157,2022-05-03 04:00:00,0
158,2022-05-03 04:20:00,0
159,2022-05-03 04:40:00,0
160,2022-05-03 05:00:00,0
161,2022-05-03 05:20:00,0
162,2022-05-03 05:40:00,0
163,2022-05-03 06:00:00,0
164,2022-05-03 06:20:00,1005
165,2022-05-03 06:40:00,1923
166,2022-05-03 07:00:00,2671
167,2022-05-03 07:20:00,5046
168,2022-05-03 07:40:00,6454
169,2022-05-03 08:00:00,5300
170,2022-05-03 08:20:00,14051
171,2022-05-03 08:40:00,19557
172,2022-05-03 09:00:00,21069
173,2022-05-03 09:20:00,21152
174,2022-05-03 09:40:00,30385
175,2022-05-03 10:00:00,32665
176,2022-05-03 10:20:00,35406
177,2022-05-03 10:40:00,36144
178,2022-05-03 11:00:00,28003
179,2022-05-03 11:20:00,28724
180,2022-05-03 11:40:00,38992
181,2022-05-03 12:00:00,42154
182,2022-05-03 12:20:00,44158
183,2022-05-03 12:40:00,44226
184,2022-05-03 13:00:00,44217
185,2022-05-03 13:20:00,37942
186,2022-05-03 13:40:00,25548
187,2022-05-03 14:00:00,18906
188,2022-05-03 14:20:00,9004
189,2022-05-03 14:40:00,15352
190,2022-05-03 15:00:00,19047
191,2022-05-03 15:20:00,31102
192,2022-05-03 15:40:00,38816
193,2022-05-03 16:00:00,32540
194,2022-05-03 16:20:00,19203
195,2022-05-03 16:40:00,16371
196,2022-05-03 17:00:00,8803
197,2022-05-03 17:20:00,4285
198,2022-05-03 17:40:00,2665
199,2022-05-03 18:00:00,3180
200,2022-05-03 18:20:00,1238
201,2022-05-03 18:40:00,983
202,2022-05-03 19:00:00,952
203,2022-05-03 19:20:00,587
204,2022-05-03 19:40:00,324
205,2022-05-03 20:00:00,99.0
206,2022-05-03 20:20:00,0.686
207,2022-05-03 20:40:00,0
208,2022-05-03 21:00:00,0
209,2022-05-03 21:20:00,0
210,2022-05-03 21:40:00,0
211,2022-05-03 22:00:00,0
212,2022-05-03 22:20:00,0
213,2022-05-03 22:40:00,0
214,2022-05-03 23:00:00,0
215,2022-05-03 23:20:00,0
216,2022-05-03 23:40:00,0
217,2022-05-04 00:00:00,0
218,2022-05-04 00:20:00,0
219,2022-05-04 00:40:00,0
220,2022-05-04 01:00:00,0
221,2022-05-04 01:20:00,0
222,2022-05-04 01:40:00,0
223,2022-05-04 02:00:00,0
224,2022-05-04 02:20:00,0
225,2022-05-04 02:40:00,0
226,2022-05-04 03:00:00,0
227,2022-05-04 03:20:00,0
228,2022-05-04 03:40:00,0
229,2022-05-04 04:00:00,0
230,2022-05-04 04:20:00,0
231,2022-05-04 04:40:00,0
232,2022-05-04 05:00:00,0
233,2022-05-04 05:20:00,0
234,2022-05-04 05:40:00,0
235,2022-05-04 06:00:00,144
236,2022-05-04 06:20:00,1557
237,2022-05-04 06:40:00,2543
238,2022-05-04 07:00:00,3060
239,2022-05-04 07:20:00,4018
240,2022-05-04 07:40:00,10660
241,2022-05-04 08:00:00,12674
242,2022-05-04 08:20:00,14721
243,2022-05-04 08:40:00,18649
244,2022-05-04 09:00:00,22488
245,2022-05-04 09:20:00,25794
246,2022-05-04 09:40:00,29023
247,2022-05-04 10:00:00,32942
248,2022-05-04 10:20:00,35119
249,2022-05-04 10:40:00,19131
250,2022-05-04 11:00:00,23292
251,2022-05-04 11:20:00,26388
252,2022-05-04 11:40:00,32509
253,2022-05-04 12:00:00,17186
254,2022-05-04 12:20:00,13354
255,2022-05-04 12:40:00,35148
256,2022-05-04 13:00:00,47181
257,2022-05-04 13:20:00,44753
258,2022-05-04 13:40:00,43921
259,2022-05-04 14:00:00,43631
260,2022-05-04 14:20:00,42675
261,2022-05-04 14:40:00,42650
262,2022-05-04 15:00:00,41526
263,2022-05-04 15:20:00,40022
264,2022-05-04 15:40:00,34185
265,2022-05-04 16:00:00,22028
266,2022-05-04 16:20:00,13713
267,2022-05-04 16:40:00,19400
268,2022-05-04 17:00:00,15743
269,2022-05-04 17:20:00,20562
270,2022-05-04 17:40:00,14028
271,2022-05-04 18:00:00,4361
272,2022-05-04 18:20:00,1741
273,2022-05-04 18:40:00,3273
274,2022-05-04 19:00:00,4793
275,2022-05-04 19:20:00,4699
276,2022-05-04 19:40:00,2993
277,2022-05-04 20:00:00,1614
278,2022-05-04 20:20:00,707
279,2022-05-04 20:40:00,0
280,2022-05-04 21:00:00,0
281,2022-05-04 21:20:00,0
282,2022-05-04 21:40:00,0
283,2022-05-04 22:00:00,0
284,2022-05-04 22:20:00,0
285,2022-05-04 22:40:00,0
286,2022-05-04 23:00:00,0
287,2022-05-04 23:20:00,0
288,2022-05-04 23:40:00,0
289,2022-05-05 00:00:00,0
290,2022-05-05 00:20:00,0
291,2022-05-05 00:40:00,0
292,2022-05-05 01:00:00,0
293,2022-05-05 01:20:00,0
294,2022-05-05 01:40:00,0
295,2022-05-05 02:00:00,0
296,2022-05-05 02:20:00,0
297,2022-05-05 02:40:00,0
298,2022-05-05 03:00:00,0
299,2022-05-05 03:20:00,0
300,2022-05-05 03:40:00,0
301,2022-05-05 04:00:00,0
302,2022-05-05 04:20:00,0
303,2022-05-05 04:40:00,0
304,2022-05-05 05:00:00,0
305,2022-05-05 05:20:00,0
306,2022-05-05 05:40:00,0
307,2022-05-05 06:00:00,0
308,2022-05-05 06:20:00,0
309,2022-05-05 06:40:00,844
310,2022-05-05 07:00:00,2451
311,2022-05-05 07:20:00,3900
312,2022-05-05 07:40:00,3904
313,2022-05-05 08:00:00,4370
314,2022-05-05 08:20:00,3706
315,2022-05-05 08:40:00,4562
316,2022-05-05 09:00:00,4980
317,2022-05-05 09:20:00,3129
318,2022-05-05 09:40:00,3203
319,2022-05-05 10:00:00,4670
320,2022-05-05 10:20:00,5482
321,2022-05-05 10:40:00,4743
322,2022-05-05 11:00:00,5662
323,2022-05-05 11:20:00,7512
324,2022-05-05 11:40:00,7309
325,2022-05-05 12:00:00,10511
326,2022-05-05 12:20:00,7106
327,2022-05-05 12:40:00,6829
328,2022-05-05 13:00:00,4789
329,2022-05-05 13:20:00,4851
330,2022-05-05 13:40:00,5908
331,2022-05-05 14:00:00,7779
332,2022-05-05 14:20:00,8001
333,2022-05-05 14:40:00,10939
334,2022-05-05 15:00:00,20458
335,2022-05-05 15:20:00,19805
336,2022-05-05 15:40:00,16818
337,2022-05-05 16:00:00,14424
338,2022-05-05 16:20:00,14465
339,2022-05-05 16:40:00,10664
340,2022-05-05 17:00:00,6488
341,2022-05-05 17:20:00,9323
342,2022-05-05 17:40:00,8005
343,2022-05-05 18:00:00,4495
344,2022-05-05 18:20:00,3034
345,2022-05-05 18:40:00,3289
346,2022-05-05 19:00:00,3095
347,2022-05-05 19:20:00,2725
348,2022-05-05 19:40:00,3000
349,2022-05-05 20:00:00,2109
350,2022-05-05 20:20:00,454
351,2022-05-05 20:40:00,0
352,2022-05-05 21:00:00,0
353,2022-05-05 21:20:00,0
354,2022-05-05 21:40:00,0
355,2022-05-05 22:00:00,0
356,2022-05-05 22:20:00,0
357,2022-05-05 22:40:00,0
358,2022-05-05 23:00:00,0
359,2022-05-05 23:20:00,0
360,2022-05-05 23:40:00,0
361,2022-05-06 00:00:00,0
362,2022-05-06 00:20:00,0
363,2022-05-06 00:40:00,0
364,2022-05-06 01:00:00,0
365,2022-05-06 01:20:00,0
366,2022-05-06 01:40:00,0
367,2022-05-06 02:00:00,0
368,2022-05-06 02:20:00,0
369,2022-05-06 02:40:00,0
370,2022-05-06 03:00:00,0
371,2022-05-06 03:20:00,0
372,2022-05-06 03:40:00,0
373,2022-05-06 04:00:00,0
374,2022-05-06 04:20:00,0
375,2022-05-06 04:40:00,0
376,2022-05-06 05:00:00,0
377,2022-05-06 05:20:00,0
378,2022-05-06 05:40:00,0
379,2022-05-06 06:00:00,0
380,2022-05-06 06:20:00,368
381,2022-05-06 06:40:00,1474
382,2022-05-06 07:00:00,2716
383,2022-05-06 07:20:00,3866
384,2022-05-06 07:40:00,5160
385,2022-05-06 08:00:00,6000
386,2022-05-06 08:20:00,5869
387,2022-05-06 08:40:00,6811
388,2022-05-06 09:00:00,9109
389,2022-05-06 09:20:00,10031
390,2022-05-06 09:40:00,11457
391,2022-05-06 10:00:00,14879
392,2022-05-06 10:20:00,21352
393,2022-05-06 10:40:00,27646
394,2022-05-06 11:00:00,30700
395,2022-05-06 11:20:00,30736
396,2022-05-06 11:40:00,32928
397,2022-05-06 12:00:00,32271
398,2022-05-06 12:20:00,33454
399,2022-05-06 12:40:00,33664
400,2022-05-06 13:00:00,35375
401,2022-05-06 13:20:00,36266
402,2022-05-06 13:40:00,37097
403,2022-05-06 14:00:00,37319
404,2022-05-06 14:20:00,42283
405,2022-05-06 14:40:00,43600
406,2022-05-06 15:00:00,37969
407,2022-05-06 15:20:00,37037
408,2022-05-06 15:40:00,25235
409,2022-05-06 16:00:00,38367
410,2022-05-06 16:20:00,31882
411,2022-05-06 16:40:00,35330
412,2022-05-06 17:00:00,28837
413,2022-05-06 17:20:00,25897
